API Well Number,Well Name,Well Name Suffix,Bottom Lease Number,Bottom Area,Bottom Block,Company Name,Spud Date,BH Total MD (feet),True Vertical Depth (feet),TVD Subsea (feet),RKB,KOP,Total Depth Date,Status Date,Type Code,Status Code,Casing Cut Code,Water Depth (feet),Underwater Comp Stub,Surface Lease Number,Surface Latitude,Surface Longitude,Bottom Latitude,Bottom Longitude
608174015701, A052,ST01BP00,G02642,MC,  150,"EnVen Energy Ventures, LLC",12/22/1994,14075,9417,9312,105,7045,2/19/1995,12/19/1998,D,ST,N,1024,N,G02638,28.79085677,-89.05639807,28.79597297,-89.07197997
608174011571, A047,ST01BP01,G02643,MC,  151,"EnVen Energy Ventures, LLC",6/23/1980,11922,8185,8077,108,6680,7/5/1980,10/8/1986,D,ST,N,1024,N,G02638,28.79107551,-89.05612139,28.79877181,-89.03456029
608174011000, A029,ST00BP00,G02643,MC,  151,"EnVen Energy Ventures, LLC",5/4/1980,12600,8027,7919,108,,5/16/1981,11/27/1989,D,ST,N,1024,N,G02638,28.79101396,-89.05618574,28.79961476,-89.03145814
608174007200, A013,ST01BP00,G02643,MC,  151,"EnVen Energy Ventures, LLC",6/13/1979,10050,8508,8400,108,6806,6/13/1979,11/30/1994,D,ST,N,1025,N,G02638,28.79105825,-89.056171,28.80057525,-89.049287
608174000501,  002,ST01BP00,G02643,MC,  151,"EnVen Energy Ventures, LLC",8/25/1975,10576,9734,9646,88,3585,9/7/1975,9/10/1975,E,ST,Y,1014,N,G02643,28.80153113,-89.0415239,28.80909643,-89.0457146
608174006401, A009,ST01BP00,G02642,MC,  150,"EnVen Energy Ventures, LLC",12/13/1989,10277,9308,9200,108,3748,12/21/1989,6/24/1998,D,ST,N,1024,N,G02638,28.79108797,-89.05620592,28.80064217,-89.05602042
608174015502, A065,ST02BP01,G02639,MC,  195,"EnVen Energy Ventures, LLC",10/8/1988,10417,8565,8457,108,8178,10/16/1988,1/30/1996,D,ST,N,1024,N,G02638,28.7910336,-89.05616427,28.7799654,-89.04970147
608174016401, A062,ST01BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",9/22/1989,12950,10061,9945,116,3671,10/19/1989,6/21/1997,D,ST,N,1024,N,G02638,28.79086478,-89.05641384,28.78636278,-89.07863404
608174013800, A040,ST00BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",12/17/1980,11470,8088,7983,105,,12/30/1980,12/3/2000,D,ST,N,1024,N,G02638,28.79083401,-89.05644757,28.77062741,-89.05862417
608174010301, A010,ST01BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",7/17/1990,10400,9142,9034,108,2972,7/29/1990,11/23/1996,D,ST,N,1024,N,G02638,28.79086578,-89.05634829,28.78587618,-89.06806249
608174010305, A010,ST05BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",11/10/1998,14278,9216,9108,108,13232,11/13/1998,4/29/2001,D,ST,N,1025,N,G02638,28.79086578,-89.05634829,28.77641778,-89.07681759
608174012002, A038,ST02BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",11/26/1998,14525,9966,9850,116,9048,12/3/1998,3/28/2016,D,ST,N,1025,N,G02638,28.7908438,-89.05643559,28.7757068,-89.07852419
608174011902, A034,ST02BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",9/25/1998,9741,9409,9295,114,3432,10/12/1998,7/7/2002,D,ST,N,1024,N,G02638,28.79087317,-89.05640463,28.78742317,-89.06170863
608174007202, A013,ST02BP00,G02639,MC,  195,"EnVen Energy Ventures, LLC",5/11/1998,6970,6040,5926,114,3548,5/16/1998,5/18/1998,D,ST,N,1025,N,G02638,28.79105825,-89.056171,28.78759525,-89.0505276
608174005802, A001,ST02BP00,G02643,MC,  151,"EnVen Energy Ventures, LLC",2/1/1998,10789,4949,4841,108,2214,2/25/1998,2/28/1998,D,ST,N,1025,N,G02638,28.79112713,-89.05616298,28.80666173,-89.03888858
608174005801, A001,ST01BP00,G02643,MC,  151,"EnVen Energy Ventures, LLC",1/17/1998,4113,3347,3239,108,1540,1/27/1998,2/1/1998,D,ST,N,1025,N,G02638,28.79112713,-89.05616298,28.79414093,-89.05259928
608174010304, A010,ST04BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",9/1/1997,14357,9224,9119,105,13331,9/6/1997,11/10/1998,D,ST,N,1024,N,G02638,28.79086578,-89.05634829,28.77623058,-89.07699209
